qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	ACC	Protein	GCA
ERS055657.7114_1_10.14_111	NZ_AFAH00000000.2-?fim41a-G?F41a-Fim41a-G-fimbrial-subunit?	100	53	0	0	89	141	354	302	4.39e-23	99	ERS055657.7114_1_10.14	F41a	7114_1_10.contigs.fa
ERS055657.7114_1_10.27_32	CBJ02741.1-?yghJ?YghJ-secreted-lipoprotein,-mucin-sbinding-metalloprotease-YghJ?	86.874	4594	541	48	1	4566	1	4560	0	5086	ERS055657.7114_1_10.27	YghJ	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_4	LR883052-?lngR?CS21-LngR-regulator?	100	306	0	0	1	306	1	306	2.32000000000000e-163	566	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_5	LR883052-?lngS?CS21-LngS-regulator?	100	897	0	0	1	897	1	897	0	1657	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_6	LR883052-?lngT?CS21-LngT-unknown-function?	100	444	0	0	1	444	1	444	0	821	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_7	LR883052-?lngX2?CS21-LngX2-unknown-function	100	222	0	0	1	222	1	222	8.21000000000000e-117	411	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_8	LR883052-?lngA?CS21-LngA-major-subunit?	100	711	0	0	1	711	1	711	0	1314	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_9	LR883052-?lngB?CS21-LngB-minor-subunit?	100	1572	0	0	1	1572	1	1572	0	2904	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_10	LR883052-?lngC?CS21-LngC-outer-membrane-protein?	100	414	0	0	1	414	1	414	0	765	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
ERS055657.7114_1_10.59_11	LR883052-?lngD?CS21-LngD-outer-membrane-protein?	100	1458	0	0	1	1458	1	1458	0	2693	ERS055657.7114_1_10.59	CS21	7114_1_10.contigs.fa
